,Neighborhood,Borough,Cluster Labels,Latitude,Longitude
140,Gayrettepe,Beşiktaş,0,41.0622256,29.0061911
141,Konaklar,Beşiktaş,0,41.0949484,29.0152313
142,Kuruçeşme,Beşiktaş,0,41.0602904,29.0365809
143,Kültür,Beşiktaş,0,41.0728647,29.032359
144,Levazım,Beşiktaş,0,41.0627178,29.0194489
145,Levent,Beşiktaş,0,41.0758404,29.0144803
146,Mecidiye,Beşiktaş,0,41.0472944,29.02682679965463
147,Muradiye,Beşiktaş,0,41.0480949,28.9989975
148,Nisbetiye,Beşiktaş,0,41.0718257,29.0222477
149,Ortaköy,Beşiktaş,0,41.0495969,29.0298819
150,Sinanpaşa,Beşiktaş,0,41.0428133,29.0048711
151,Türkali,Beşiktaş,0,41.047674,29.0023049
152,Ulus,Beşiktaş,0,41.0646636,29.0270709
153,Vişnezade,Beşiktaş,0,41.0418667,29.0052555
154,Yıldız,Beşiktaş,0,41.0533024,29.0095466
155,Acarlar,Beykoz,0,41.0948104,29.0985978
156,Anadoluhisarı,Beykoz,0,41.082082850000006,29.066885241593628
157,Anadolukavağı,Beykoz,0,41.17391,29.0886888
158,Baklacı,Beykoz,0,41.0618606,29.1376005
159,Çamlıbahçe,Beykoz,0,41.1484865,29.0830778
160,Çengeldere,Beykoz,0,41.0969495,29.14622
161,Çiftlik,Beykoz,0,41.0796939,29.1408276
162,Çiğdem,Beykoz,0,41.1102172,29.0915312
163,Çubuklu,Beykoz,0,41.1075633,29.0804463
164,Fatih,Beykoz,0,41.09130855,29.061382938120182
165,Göksu,Beykoz,0,41.0778999,29.0710377
166,Göztepe,Beykoz,0,41.0788619,29.0883719
167,Gümüşsuyu,Beykoz,0,41.1261241,29.1108046
168,İncirköy,Beykoz,0,41.1172462,29.1108905
169,Kanlıca,Beykoz,0,41.1002818,29.065224
170,Kavacık,Beykoz,0,41.0901331,29.0831834
171,Merkez,Beykoz,0,41.1343422,29.090244
172,Ortaçeşme,Beykoz,0,41.1456738,29.0920752
173,Paşabahçe,Beykoz,0,41.1142346,29.098039677159562
174,Rüzgarlıbahçe,Beykoz,0,41.095398,29.0998985
175,Soğuksu,Beykoz,0,41.1117131,29.1104807
176,Tokatköy,Beykoz,0,41.1628542,29.1004536
