,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
64,Heybeliada,40.87625945,29.091027262109566,Cafe Cencey,40.87912908364364,29.09477656960659,Café
65,Heybeliada,40.87625945,29.091027262109566,heybeliada iskele,40.87886488684365,29.09541847056339,Harbor / Marina
66,Kınalıada,40.90845185,29.04842005624402,Hristos Rum Manastırı,40.90631177814993,29.050206121239228,Church
67,Kınalıada,40.90845185,29.04842005624402,Ulker Restaurant & Cafe & Plaj,40.90659232817539,29.04434677696153,Beach
68,Kınalıada,40.90845185,29.04842005624402,Çınar Tepesi,40.9071663579233,29.051183458707843,Forest
69,Kınalıada,40.90845185,29.04842005624402,Kınalıada Ayazma,40.9055808800828,29.046403476496575,Pool
70,Kınalıada,40.90845185,29.04842005624402,Ayazma Koyu,40.905524639173706,29.046428327197226,Boat or Ferry
71,Kınalıada,40.90845185,29.04842005624402,Kınalıada Beach,40.906171,29.045134,Beach
72,Kınalıada,40.90845185,29.04842005624402,Kınalıada Kamos Beach Club,40.905319,29.046128,Beach
73,Kınalıada,40.90845185,29.04842005624402,Sunset Beach Club,40.905659846872624,29.046293673960005,Beach
74,Kınalıada,40.90845185,29.04842005624402,Ada Turu,40.90648554620093,29.04429650579273,Trail
75,Kınalıada,40.90845185,29.04842005624402,Kınalıada Mermaid Pool And Beach,40.90667767149391,29.04414876248122,Pool
76,Kınalıada,40.90845185,29.04842005624402,kınalıada ayazma koyu,40.90552787177946,29.044949984113334,Harbor / Marina
77,Kınalıada,40.90845185,29.04842005624402,Cozy,40.904863442639744,29.046202691648297,Beach Bar
78,Kınalıada,40.90845185,29.04842005624402,Yuka Beach Bar,40.904675,29.046102,Beach Bar
79,Kınalıada,40.90845185,29.04842005624402,Rita Inn,40.912605,29.049095,Café
80,Kınalıada,40.90845185,29.04842005624402,Kınali Ada Nicole 2 motor yat,40.9049797946503,29.045177280266216,Boat or Ferry
81,Kınalıada,40.90845185,29.04842005624402,Kınalıada Yürüyüş Parkuru,40.907284,29.042707,Athletics & Sports
82,Maden,40.872361299999994,29.1304477,Büyükada Şekercisi Candy Island Cafe Patisserie,40.873781604447046,29.131028098204972,Breakfast Spot
83,Maden,40.872361299999994,29.1304477,Sergüzeşt Otel,40.87120083003014,29.132002023467138,Hotel
84,Maden,40.872361299999994,29.1304477,Ada Palas Butik Hotel,40.87358609581638,29.129959506003974,Hotel
85,Maden,40.872361299999994,29.1304477,Büyükada Cumbalı Konak Hotel,40.87401783064285,29.13040745544551,Hotel
86,Maden,40.872361299999994,29.1304477,Halikarnas Ada Pansiyon,40.87350929995319,29.129190626150454,Bed & Breakfast
87,Maden,40.872361299999994,29.1304477,La Sala Hotel,40.87284846575362,29.13325838156806,Hotel
88,Maden,40.872361299999994,29.1304477,çenar konağı butik otel,40.873087635832086,29.131592756093298,Hotel
89,Maden,40.872361299999994,29.1304477,Sermest Cafe,40.871180333773886,29.131955052567385,Bistro
90,Maden,40.872361299999994,29.1304477,Büyükada Bistro Candy Garden,40.8733182525915,29.129447042942047,Breakfast Spot
91,Maden,40.872361299999994,29.1304477,Mini Prens Butik Otel,40.87362375993674,29.129412618863277,Hotel
92,Maden,40.872361299999994,29.1304477,Sarıyer dondurmacısı,40.87356104812234,29.128407995299774,Ice Cream Shop
93,Maden,40.872361299999994,29.1304477,Büyükada Kahvaltı,40.87427186671822,29.13151318986026,Breakfast Spot
94,Maden,40.872361299999994,29.1304477,Lale Büfe,40.8730968545443,29.130722944231245,Hot Dog Joint
95,Maden,40.872361299999994,29.1304477,Eskibağ Butik Hotel,40.872934057953906,29.129092474312824,Hotel
96,Maden,40.872361299999994,29.1304477,Hacı Baba Dondurma,40.874140267637124,29.128403029019246,Ice Cream Shop
97,Maden,40.872361299999994,29.1304477,Splendid Palas Hotel,40.873041814863456,29.126313593206714,Hotel
98,Maden,40.872361299999994,29.1304477,Kutu Nargile Cafe,40.87471177397875,29.1287479343379,Café
99,Maden,40.872361299999994,29.1304477,Masal Otel,40.87405332786314,29.132809175438524,Hotel
100,Maden,40.872361299999994,29.1304477,Ascot Hotel,40.872925685853374,29.1317601236283,Hotel
101,Maden,40.872361299999994,29.1304477,Büyükada Pastanesi,40.87461712840096,29.129815080826145,Dessert Shop
102,Maden,40.872361299999994,29.1304477,Ada Kahvaltı,40.87377843507128,29.13230229107692,Breakfast Spot
103,Maden,40.872361299999994,29.1304477,Choco White,40.87291,29.126289,Dessert Shop
104,Maden,40.872361299999994,29.1304477,Ada Antik Otel,40.87195377856442,29.13368373609912,Hotel
105,Maden,40.872361299999994,29.1304477,Roma Dondurmacısı,40.87438301646576,29.12847581826287,Ice Cream Shop
106,Maden,40.872361299999994,29.1304477,Çınar Meydanı,40.87287653206985,29.132118044070957,Event Space
107,Maden,40.872361299999994,29.1304477,Secret Garden Cafe & Restaurant,40.87356949481113,29.129906845676665,Restaurant
108,Maden,40.872361299999994,29.1304477,Gala Butik Otel,40.871338761221004,29.12562892218579,Motel
