,Neighborhood,Borough,Cluster Labels,Latitude,Longitude
283,Taşdelen,Çekmeköy,0,41.0472849,29.21666767740429
284,Birlik,Esenler,0,41.049476399999996,28.8688548
285,Çiftehavuzlar,Esenler,0,41.026669500000004,28.896045500000003
286,Davutpaşa,Esenler,0,41.0200666,28.8992542
287,Fatih,Esenler,0,41.041987799999994,28.8656817
288,Fevzi Çakmak,Esenler,0,41.044084999999995,28.8818897
289,Havaalanı,Esenler,0,41.0570514,28.8699999
290,Kâzım Karabekir,Esenler,0,41.048232899999995,28.875519899999997
291,Kemer,Esenler,0,41.0522963,28.881045899999997
292,Menderes,Esenler,0,41.0412375,28.8769037
293,Mimarsinan,Esenler,0,41.034791399999996,28.8880395
294,Namık Kemal,Esenler,0,41.0303064,28.8958869
295,Nenehatun,Esenler,0,41.0357471,28.8788586
296,Oruçreis,Esenler,0,41.067027100000004,28.8692149
297,Tuna,Esenler,0,41.0498792,28.8619396
298,Turgutreis,Esenler,0,41.0606554,28.863562899999994
299,Yavuz Selim,Esenler,0,41.037574400000004,28.8885873
300,Ardıçlıevler,Esenyurt,0,41.0519354,28.6712915
301,Atatürk,Esenyurt,0,41.035294,28.6295608
302,Cumhuriyet,Esenyurt,0,41.0179385,28.6484005
304,Esenkent,Esenyurt,0,41.059726500000004,28.677186600000002
305,Fatih,Esenyurt,0,41.030190399999995,28.6756958
306,Güzelyurt (Haramidere),Esenyurt,0,41.0065916,28.6651555
307,İncirtepe,Esenyurt,0,41.0212223,28.6935854
308,İnönü,Esenyurt,0,41.028412,28.6892086
309,İstiklal,Esenyurt,0,41.0369417,28.6501717
310,Mehterçeşme,Esenyurt,0,41.0197516,28.663158199999998
311,Merkez,Esenyurt,0,41.545063,32.2556
312,Namik Kemal,Esenyurt,0,41.008736799999994,28.6914255
313,Örnek,Esenyurt,0,41.0421073,28.67245
314,Pınar,Esenyurt,0,41.034653799999994,28.6654387
315,Saadetdere,Esenyurt,0,41.008774,28.6977072
316,Sanayii,Esenyurt,0,41.0673942,28.656082482347887
317,Talatpasa,Esenyurt,0,41.0209589,28.673692499999998
318,Yenikent,Esenyurt,0,41.0398218,28.681711699999997
319,Yeşilkent,Esenyurt,0,41.0260628,28.6600358
320,Akşemsettin,Eyüp,0,41.086536100000004,28.925985999999998
321,Alibeyköy,Eyüp,0,41.079141299999996,28.949577
322,Çırçır,Eyüp,0,41.08038079999999,28.935025800000002
323,Defterdar,Eyüp,0,41.0385554,28.9263415
324,Düğmeciler,Eyüp,0,41.045469700000005,28.925340000000002
325,Emniyettepe,Eyüp,0,41.068731400000004,28.9496723
326,Esentepe,Eyüp,0,41.0700759,28.938839899999998
327,Merkez,Eyüp,0,41.0492625,28.9346503
328,Göktürk,Eyüp,0,41.18778185,28.881976647166123
329,Güzeltepe,Eyüp,0,41.088719299999994,28.9519605
330,İslambey,Eyüp,0,41.0513251,28.928132799999997
331,Karadolap,Eyüp,0,41.074408700000006,28.933002899999998
332,Mimarsinan,Eyüp,0,41.135853600000004,28.94853331275
333,Mithatpaşa,Eyüp,0,41.172775,28.92894396252707
334,Nişanca,Eyüp,0,41.0415174,28.928120399999997
335,Rami Cuma,Eyüp,0,41.0494315,28.922208899999998
336,Rami Yeni,Eyüp,0,41.0465961,28.915633399999997
337,Sakarya,Eyüp,0,41.0668244,28.9406205
338,Silahtarağa,Eyüp,0,41.061932899999995,28.9407135
339,Topçular,Eyüp,0,41.0416417,28.919562100000004
340,Yeşilpınar,Eyüp,0,41.0822903,28.9182892
341,Aksaray,Fatih,0,38.3578384,34.0351138
342,Akşemsettin,Fatih,0,40.9480536,29.2992971
343,Alemdar,Fatih,0,41.0095336,28.9759538
344,Ali Kuşçu,Fatih,0,41.02097070000001,28.948833
345,Atikali,Fatih,0,41.0250875,28.9450249
346,Ayvansaray,Fatih,0,41.0396674,28.9438382
347,Balabanağa,Fatih,0,41.0107202,28.9596261
348,Balat,Fatih,0,41.03406,28.948089399999997
349,Beyazıt,Fatih,0,41.009452,28.964008000000003
350,Binbirdirek,Fatih,0,41.0074523,28.9739702
351,Cankurtaran,Fatih,0,41.010591299999994,28.982311600000003
352,Cerrahpaşa,Fatih,0,41.0046109,28.939363
353,Cibali,Fatih,0,41.0227473,28.9578576
354,Demirtaş,Fatih,0,38.6323334,34.9154795
355,Derviş Ali,Fatih,0,41.019452799999996,28.947856400000003
356,Eminsinan,Fatih,0,41.0064686,28.9690484
357,Hacıkadın,Fatih,0,41.0185411,28.9590018
358,Hasekisultan,Fatih,0,41.0097692,28.9419261
